Id,SalePrice
1461,119359.354694
1462,152577.904688
1463,180811.052798
1464,197096.208156
1465,201190.778838
1466,169964.561255
1467,180773.808164
1468,159373.69327
1469,196664.348137
1470,118873.991452
1471,187362.183512
1472,98833.6444501
1473,94764.452623
1474,143794.054336
1475,107389.667376
1476,353514.00524
1477,246169.290198
1478,301565.323512
1479,300421.735172
1480,462416.84679
1481,324768.126438
1482,213229.826952
1483,180351.594732
1484,159555.613232
1485,196655.951361
1486,194984.527676
1487,336514.14982
1488,239619.829428
1489,191304.666548
1490,238659.818802
1491,195925.180381
1492,92560.5273927
1493,188546.868065
1494,294889.674582
1495,291229.344627
1496,232966.87732
1497,181867.262254
1498,172177.672363
1499,166324.925325
1500,159201.689393
1501,174708.015265
1502,146627.500568
1503,281236.177767
1504,242333.955999
1505,226103.785316
1506,187871.486084
1507,242922.586198
1508,203900.170874
1509,161250.901742
1510,142726.608256
1511,150044.513106
1512,176853.502231
1513,153907.163549
1514,153059.738243
1515,193336.647284
1516,156329.417999
1517,173249.379433
1518,131142.538853
1519,209206.697658
1520,126296.664224
1521,128770.621635
1522,178263.281204
1523,110584.777424
1524,127503.490817
1525,117262.809002
1526,110310.580354
1527,109894.828572
1528,141181.034908
1529,149851.413709
1530,185236.657442
1531,106341.939114
1532,98089.2492547
1533,145613.88013
1534,128004.760863
1535,146739.288371
1536,107745.556276
1537,61415.6998091
1538,147770.859894
1539,196649.853479
1540,96741.9451677
1541,138608.340103
1542,140269.245791
1543,179415.254675
1544,89111.1707576
1545,118258.223729
1546,137858.934443
1547,126913.04955
1548,142455.048956
1549,123613.749896
1550,133539.893041
1551,106731.275876
1552,131453.23351
1553,144056.642259
1554,116347.962434
1555,156854.41851
1556,86174.0560821
1557,105107.509038
1558,101858.363673
1559,64210.8024175
1560,134908.87131
1561,125843.581445
1562,131513.293408
1563,117959.142137
1564,155008.39731
1565,149804.452067
1566,240817.649418
1567,77897.4812849
1568,234154.415907
1569,124682.806159
1570,141654.001963
1571,124722.212537
1572,140763.741578
1573,229828.100973
1574,121208.019881
1575,228038.404917
1576,248585.456514
1577,177661.166041
1578,151137.296056
1579,143224.43846
1580,198301.423437
1581,156016.152367
1582,124169.480176
1583,281526.213415
1584,215035.567602
1585,134426.885487
1586,63825.207682
1587,106544.184916
1588,150093.93064
1589,96439.5931301
1590,134139.758597
1591,89432.3174521
1592,116837.54285
1593,127292.530468
1594,122223.955541
1595,106182.973191
1596,213822.356258
1597,195387.846083
1598,234583.232462
1599,166359.854999
1600,158073.51558
1601,66148.2749834
1602,118361.407912
1603,71127.2770125
1604,256971.056853
1605,241435.155472
1606,168683.2173
1607,179399.895758
1608,216577.31958
1609,180810.841305
1610,151507.381794
1611,137619.064906
1612,172953.315305
1613,165682.416699
1614,128934.210105
1615,95870.7728693
1616,79388.6726612
1617,95531.6420645
1618,125119.398955
1619,138325.474723
1620,147520.50704
1621,138520.182543
1622,141646.8646
1623,257019.420574
1624,210103.364553
1625,117309.055591
1626,173287.517953
1627,192432.112127
1628,282730.797467
1629,185131.244302
1630,339832.417606
1631,233658.146277
1632,246168.767183
1633,177925.171708
1634,184945.752835
1635,174944.428282
1636,152373.070472
1637,201166.48592
1638,178800.02716
1639,192666.408745
1640,251975.619107
1641,184779.232126
1642,246767.622129
1643,213170.344375
1644,238330.116756
1645,194542.099768
1646,159257.587623
1647,161679.72846
1648,129037.015117
1649,141660.401331
1650,112338.793022
1651,120123.118448
1652,98433.052782
1653,101323.760031
1654,142027.306449
1655,132276.429362
1656,139338.00856
1657,145085.233191
1658,143720.858206
1659,113793.25718
1660,159698.488583
1661,409051.451023
1662,400513.536891
1663,374943.850133
1664,477329.734028
1665,310369.306527
1666,336393.549836
1667,385238.168008
1668,354118.171623
1669,321070.463372
1670,353351.670153
1671,261318.042907
1672,409976.50953
1673,284999.005048
1674,239835.163574
1675,197265.821656
1676,196973.373029
1677,218479.85947
1678,436491.532028
1679,388878.01715
1680,327626.962902
1681,251842.701323
1682,321719.478673
1683,184393.41777
1684,175592.615927
1685,175724.037119
1686,167408.641863
